cell,CD4,TLL1,EPHA8,CD69,CDKN1A,CCR7,PDGFRA,CD44,FCGR2A,EGFR,KHDRBS2,DRAXIN,LMX1A,RFTN2,IGFBP7,EOMES,CTLA4,HHIP,COL1A2,TRIM9,ATOH1,IGF1,NCAM1,TULP1,FOXJ1,CD37,CD19,RIT2,IGDCC3,VTCN1,KCNH8,CNTN2,PTCH1,OTX2,MEIS2,TNC,CDH5,PPP1R17,APOD,SEMA6A,NNAT,NPAS3,PTPRC,IL4,EZH2,CD74,C5AR1,DLL3,SRC,HLA-DRB1,Blank-1,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,Blank-10,Blank-11,Blank-12,Blank-13,Blank-14,Blank-15,Blank-16,Blank-17,Blank-18,Blank-19,Blank-20,Blank-21,Blank-22,Blank-23,Blank-24,Blank-25,Blank-26,Blank-27,Blank-28,Blank-29,Blank-30,Blank-31,Blank-32,Blank-33,Blank-34,Blank-35,Blank-36,Blank-37,Blank-38,Blank-39,Blank-40
112824700230101295,0,0,0,0,7,0,1,0,1,0,0,0,0,1,5,0,0,7,14,1,0,0,6,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,12,2,1,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101298,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,1,1,0,1,7,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,3,2,4,0,0,0,1,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101301,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101303,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,3,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101309,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,4,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101310,1,0,0,0,0,0,1,1,0,2,0,4,0,0,0,0,1,1,9,0,0,0,10,0,0,0,0,0,2,0,0,3,5,0,1,0,1,0,7,14,5,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112824700230101312,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,1,5,0,0,0,10,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,2,8,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101313,0,1,0,0,0,0,4,0,1,1,1,0,0,1,2,0,0,3,17,0,0,0,6,0,1,0,0,0,0,0,0,1,2,0,2,1,0,0,31,0,7,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112824700230101314,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101315,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101316,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,0,0,1,21,1,0,0,2,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,20,3,4,1,0,0,1,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101317,0,1,0,0,3,0,2,1,1,1,0,3,0,4,1,0,0,4,19,3,1,0,12,0,0,0,0,0,1,0,0,5,7,0,1,0,0,0,15,6,13,1,0,0,4,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101322,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,10,10,6,1,0,0,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101323,0,0,0,0,1,0,2,0,1,1,0,1,0,1,0,0,0,0,6,1,0,0,5,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,9,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112824700230101325,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8,4,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112824700230101328,1,0,0,0,3,0,0,0,1,1,0,2,0,0,0,0,0,1,3,0,2,1,8,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0,3,2,11,0,0,0,1,18,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112824700230101329,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,6,0,0,0,0,0,2,0,0,0,3,0,5,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101330,0,0,0,0,5,0,1,0,0,2,0,4,0,3,0,0,0,4,12,2,3,0,14,0,0,0,0,0,0,1,1,3,7,0,2,1,3,0,5,13,23,0,0,0,3,2,0,12,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101333,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,3,21,0,1,0,6,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,5,2,4,1,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101334,0,0,0,0,4,0,1,0,0,0,0,2,0,4,1,0,0,3,0,1,0,0,19,0,0,0,0,0,1,0,2,8,7,0,11,1,0,0,6,20,25,0,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
112824700230101335,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,2,0,0,1,0,13,0,0,0,0,0,1,0,0,2,2,0,4,0,0,0,1,4,8,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101337,2,0,0,0,2,0,7,3,1,3,0,1,0,1,1,0,0,11,24,1,3,0,14,1,0,0,0,0,2,2,0,5,8,0,6,0,0,1,22,8,16,3,0,0,6,18,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
112824700230101339,2,0,0,0,0,0,14,0,0,1,0,0,0,1,4,0,0,1,24,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,45,7,17,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101340,3,0,0,0,2,0,7,0,2,2,0,0,0,1,2,0,2,0,28,1,0,0,2,0,0,2,0,0,0,1,0,1,1,1,3,0,0,0,20,6,5,0,0,0,0,78,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101342,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,10,1,0,0,12,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,15,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101343,0,0,0,0,2,0,2,0,0,1,0,1,0,2,1,0,0,7,2,3,1,0,11,0,0,0,0,0,0,0,0,1,4,0,6,0,1,0,3,4,2,2,0,1,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
