EntityID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity
112824700230101393,,589.037245403159,6787.45446513275,1233.43015282128,6781.60589854369,1230.18381938078,6793.2220668445,1236.47406813147,1.81332231652461,129,0.527775190048796,6.7709628137557
112824700230101394,,438.694274745708,6714.63352372675,1233.86837718933,6710.6117070511,1230.72920642269,6718.63231146456,1237.38719046223,1.23656022478038,121,0.567371037846559,7
112824700230101396,,279.388013790742,6721.16595640499,1234.41786900205,6718.08498779548,1231.48089198461,6724.65050720347,1237.67627934212,1.6177709918532,81,0.740220467745047,7
112824700230101397,,437.01139785553,6560.58977577969,1236.54166046851,6557.28275225902,1231.73115190379,6564.58844997589,1240.64526898641,1.87136363147305,127,0.605052945153682,7
112824700230101398,,294.146728757167,6700.21314138419,1234.93836627029,6697.32011675126,1231.69575709663,6703.03592409525,1238.16899373259,1.39835538955433,65,0.71728700060877,6.87284829670449
112824700230101400,,237.609589281828,6704.64466914823,1235.78358597658,6702.08126369399,1232.36677029012,6707.45396067755,1238.89899763659,1.42104983407895,105,0.801021229643449,7
112824700230101402,,908.007963976714,6740.62117738565,1238.39006259076,6736.09898786845,1232.45101109648,6745.94093558537,1243.54858819626,1.21431562213975,276,0.395454455602108,7
112824700230101406,,386.247240168078,6567.66955565514,1236.36380727734,6564.48408282408,1233.20706221477,6571.49144872696,1240.49675644856,1.29966035751766,98,0.618595254760666,7
112824700230101407,,466.394305355354,6777.0920809915,1237.85043348329,6773.94044824778,1233.28460838042,6780.18392431423,1242.21267766251,1.42370477054772,66,0.554421842617883,6.9695356437012
112824700230101408,,500.730971963474,6577.30659154804,1237.06616476707,6572.65470130425,1233.53280745613,6581.21111980158,1241.28208643402,1.11448674209351,134,0.552174709949738,6.87518121778079
112824700230101409,,288.780025249898,6725.27977277736,1236.61125780546,6721.26825425288,1233.79174474509,6729.17956037989,1239.45915877227,1.92460390584294,108,0.753029434907217,6.96174236020463
112824700230101410,,740.759951725095,6756.60955596437,1239.40510814928,6751.54830052028,1234.1024575577,6761.62924535187,1244.42511327604,1.14477552120882,484,0.436474749920555,7
112824700230101413,,690.638318313849,6688.93417292779,1238.98200249033,6684.06763969429,1234.25232434607,6694.21278979052,1243.72624747646,1.20880093323751,198,0.455554320810477,6.91512077065721
112824700230101416,,857.119829541215,6527.43061811248,1238.86980221086,6521.8278335298,1234.49714499409,6533.063216349,1244.00075349374,1.19928553401036,134,0.412926939087292,6.84992902010994
112824700230101418,,755.531303184347,6729.31721163445,1241.13704945476,6723.92312305146,1235.89088930654,6734.15945360931,1246.26216363554,1.25806905889352,158,0.44754926373565,6.74557529440985
112824700230101419,,765.480208475194,6572.34990423186,1242.44999698028,6567.15440815454,1236.05651657842,6577.23476654343,1247.23434027732,1.46869351993656,241,0.456404730187087,6.85383132488581
112824700230101420,,977.837202723053,6555.33702574274,1242.85555517065,6549.24402245548,1235.8251196889,6560.495942915,1247.97075447321,1.09417255150474,301,0.394751101179655,6.80722103108035
112824700230101422,,504.108917208901,6588.89541937127,1239.02771713402,6584.14827843785,1235.80071402991,6593.40306043586,1242.92079798242,1.44436606928212,131,0.539363218272004,7
112824700230101423,,265.721145502488,6706.04770333663,1240.53952876736,6703.03212779651,1237.19379764394,6708.74992410894,1243.72624747646,1.48167752053267,73,0.751798844211296,7
112824700230101426,,590.080042673245,6664.75061151462,1242.0777737563,6660.28512713209,1237.37758744753,6668.57457517936,1246.40927188285,1.2609377093489,136,0.486072508934999,7
112824700230101427,,737.715385248258,6712.59114915969,1242.47031033157,6707.5968166147,1237.33086373597,6717.43213460294,1247.43077671754,1.20316482849592,209,0.443144779853078,6.99065234692999
112824700230101428,,685.374999456283,6769.66402519216,1241.94350685011,6764.6042598512,1237.48185067996,6774.84630152339,1246.26216363554,1.30007776662828,202,0.453424479401441,7
112824700230101429,,460.798990624823,6597.73132961944,1241.02459238417,6592.91705742482,1237.52864284803,6602.10812620982,1244.20912217378,1.47132415104657,131,0.568262814644415,6.94238131037361
112824700230101430,,517.749372349044,6720.86140290543,1242.12595336281,6716.54314390525,1237.7572492811,6725.68875345343,1245.94367052717,1.73366840037378,125,0.552897990925559,7
112824700230101431,,210.593223670686,6793.22224157731,1240.8944204784,6790.87927759222,1237.68678894807,6795.49007456796,1244.00734692568,1.44298723772589,43,0.838740902268705,6.97524173251411
112824700230101432,,219.550007775417,6699.71941943738,1239.85704254812,6695.89152046999,1238.10119128431,6703.26791427322,1241.73284691996,2.15887723116216,74,0.873483192010896,7
112824700230101433,,599.399906086223,6788.45425525692,1243.04481066549,6784.36523014637,1238.14393181126,6793.3443925961,1247.16806190392,1.14048586145805,114,0.513802831594337,6.53993116417876
112824700230101437,,229.38792102113,6585.71544056559,1242.56420669464,6582.05895689825,1239.69739472102,6589.65835629175,1245.37270149347,2.48176888549518,69,0.93423821434139,6.56873462458622
112824700230101438,,335.846064903135,6603.765047714,1243.38856943828,6600.19107899479,1239.79654942181,6606.87867285136,1246.59705755163,1.08666526574423,52,0.652300466121655,7
112824700230101440,,233.199798410046,6579.67125349966,1242.96236483157,6576.93025823772,1240.33623728765,6582.85601110842,1245.66366286908,1.3151344755905,73,0.791664588197419,7
112824700230101442,,1318.77365973247,6685.20061072392,1247.99120242807,6679.45654743359,1241.06926076454,6691.38062696432,1254.36832640245,1.22597403209019,414,0.330344684685055,6.91865311375785
112824700230101443,,519.285722273182,6699.28750752544,1244.40946538649,6694.50637339458,1241.09258038742,6704.48688136615,1247.91365525557,1.53976586696287,166,0.539705198285266,6.95294406843146
112824700230101446,,456.098752909054,6614.96658050976,1245.39913993649,6610.86565116454,1241.84846489332,6618.77116899705,1249.09321440563,1.22201773233572,98,0.562546721819415,6.92084129373794
112824700230101447,,376.050098805658,6693.44011039598,1247.51357011018,6690.93419764453,1242.95452208694,6696.36690473332,1251.98268717939,1.77597473253199,161,0.654062244122801,7
112824700230101449,,524.660025021634,6582.64911249198,1247.29309077275,6577.00634538527,1244.08612133695,6588.14411575505,1250.59550186303,2.08015801086816,101,0.560073598274644,7
112824700230101450,,408.161347339014,6707.76480923549,1247.36146489269,6703.43472792991,1243.80679083065,6713.06166898534,1250.03767688195,1.48163805285048,115,0.64079353396964,6.7668113642084
