,fov,volume,center_x,center_y,min_x,max_x,min_y,max_y
103327291694389284070574461648020091166,0,598.606131859763,2613.26048613099,39.0710295953537,2607.3781951023,2619.14277715969,33.9572362189169,44.1848229717906
105028411815552368766949841604861213395,0,357.981863505222,2619.95276473229,47.2114843115015,2616.44931518431,2623.45621428026,41.7073393102604,52.7156293127426
107334985627684286897728970662988248140,0,1460.76902143608,2508.69025087774,-20.3482880724546,2499.01978941537,2518.36071234011,-28.6001033667954,-12.0964727781138
116035032804455615061806604690343149440,0,452.756231545942,2415.08109941739,17.4903202581062,2409.61276122153,2420.54943761326,13.0629798083862,21.9176607078263
118414953224566788702908374446885355289,0,1188.03138694037,2427.04654464285,71.2370959615518,2419.13562762341,2434.95746166229,62.5427783482749,79.9314135748287
118933511059523931392901179565247813777,0,77.0861963818195,2488.29732020965,-33.349454386212,2485.88686744173,2490.70777297756,-35.1403006936288,-31.5586080787953
119180503160548155573121502265808115227,0,216.431205485644,2607.86199791036,-46.9339386664862,2604.36903317563,2611.35496264509,-50.7399278657146,-43.1279494672578
120647369584588323833012382458008788779,0,398.062669759159,2457.51694901201,80.8564659595214,2452.94094988198,2462.09294814204,75.7335662859728,85.97936563307
122134425713074553079042705397168896572,0,111.293610329966,2602.55459741043,-30.6085876366149,2600.22933848561,2604.87985633525,-34.4042657683107,-26.8129095049191
122409274328403365477787900318416867446,0,1582.55277926077,2449.90707581787,-26.2300472387594,2441.6180344121,2458.19611722363,-36.6023894587656,-15.8577050187531
124147075288006791257843095405892700851,0,129.07736283753,2604.39492761971,-37.5636748690656,2601.87074925053,2606.91910598889,-40.6895108351734,-34.4378389029578
125369714855808709522694450864398320783,0,722.598341080114,2549.38675430786,107.280886291445,2543.13955283496,2555.63395578077,100.717501797427,113.844270785464
127269962556257870818494503179046439378,0,910.883389167325,2573.5894296253,14.7144679202944,2566.05728055414,2581.12157869646,8.13921649260836,21.2897193479804
129346305987523791633686690256010682790,0,366.947592201424,2575.39912951562,27.2625291520168,2570.48378523522,2580.31447379603,23.1314865599477,31.393571744086
13523216570473208519137441584190115404,0,267.013137163174,2588.50453635005,10.6932824489773,2585.02090351374,2591.98816918636,6.48884854607596,14.8977163518786
137510366104482961805579782977256317397,0,618.518193752087,2569.09483549859,97.3172931561562,2563.43421281562,2574.75545818156,91.170947215163,103.463639097149
144649948340366601734481259732743786539,0,217.592225516561,2530.61396616858,-90.6987047591714,2527.56780490361,2533.66012743356,-94.7476177575166,-86.6497917608261
146171848544257456400334261603683985803,0,469.062483697572,2600.62335249573,-48.9287235080144,2595.59504349865,2605.65166149281,-54.7100609206573,-43.1473860953716
146458790041937690294477631345245707598,0,397.663415835869,2428.40707737897,-25.3243625913455,2423.24014004594,2433.57401471201,-29.9267775546734,-20.7219476280176
146622168167749734636608684407411864226,0,1625.96460645765,2465.40448115985,-76.8757206888291,2454.35685181579,2476.45211050392,-87.2436385029571,-66.507802874701
147129338823296390907385268180220840073,0,253.232094365507,2444.75365644442,105.879278826877,2439.01141017779,2450.49590271104,101.371385499924,110.38717215383
150889318911335058032822040467961875671,0,964.498317816812,2424.79975890873,-34.5543787276492,2415.68152154268,2433.91799627478,-40.9334132794556,-28.1753441758429
151363601356414581217420840191564784901,0,365.691404590901,2600.35708917479,-22.025960269469,2596.1733809642,2604.54079738539,-27.5201119278237,-16.5318086111144
153991125448435827877644601324813321880,0,395.738632277884,2428.20733896365,-41.9244851774884,2422.48541715246,2433.92926077485,-47.0705897242534,-36.7783806307235
154126867394759319770622198729584939961,0,622.973636289903,2414.8791566544,-61.240095203089,2407.45997663664,2422.29833667216,-67.5619590444202,-54.9182313617578
157692975699737151808645873791403517181,0,227.138931163695,2488.57157134864,-17.5004493486124,2484.8124492429,2492.33069345438,-20.6370241376991,-14.3638745595257
160229901044891412609557812430021269026,0,559.380974604975,2500.77659321801,-68.413267570433,2495.59916935334,2505.95401708268,-74.3721294430282,-62.4544056978379
161983366063475834110597109681750870652,0,480.823918444095,2598.26399895073,39.3178311782269,2593.12167309361,2603.40632480784,33.607958946183,45.0277034102709
162908160119943130217954662635371620136,0,369.698142980695,2534.63388110866,71.2638541053112,2530.05138150536,2539.21638071195,66.6616381986108,75.8660700120117
164459148341033414273801150752520217540,0,503.912293204354,2441.53039584608,69.1334331771306,2434.79722825588,2448.26356343628,64.711156960357,73.5557093939042
165038973589937261414252094849345265141,0,973.379860612064,2468.26546919611,-54.3755044313571,2461.0985174398,2475.43242095242,-63.0671822025146,-45.6838266601996
