ENSG00000014257	ACPP	Gene Expression
ENSG00000142515	KLK3	Gene Expression
ENSG00000263639	MSMB	Gene Expression
ENSG00000163810	TGM4	Gene Expression
ENSG00000149591	TAGLN	Gene Expression
